CRIME_CATEGORY,2020,2024,COUNTY
Under $50,"3,181","4,423",Sanfrancisco
Arson,381,271,Sanfrancisco
Structural Property,119,168,Sanfrancisco
Mobile Property,114,100,Sanfrancisco
Other Property,148,3,Sanfrancisco
Crimes,,,Solano
Violent Crimes,"2,350","2,152",Solano
Homicide,40,26,Solano
Rape (Forcible Rape prior to 2014),275,194,Solano
Rape,271,187,Solano
Attempted Rape,4,7,Solano
Robbery,589,551,Solano
Weapon,,,Solano
Firearm,181,152,Solano
Knife or Cutting Instrument,45,40,Solano
Other Weapon,43,84,Solano
Strong-Arm,320,275,Solano
Location,,,Solano
Highway,157,143,Solano
Commercial,130,123,Solano
Gas Station,35,7,Solano
Convenience Store,38,45,Solano
Residence,62,49,Solano
Bank,7,9,Solano
Miscellaneous,160,175,Solano
Aggravated Assault,"1,446","1,381",Solano
Weapon,,,Solano
Firearm,478,262,Solano
Knife or Cutting Instrument,128,171,Solano
Other Weapon,410,499,Solano
Hands  Fists  Feet,430,449,Solano
Property Crimes,"10,689","10,100",Solano
Burglary,"2,751","1,450",Solano
Means of Entry,,,Solano
Forcible Entry,"1,686",366,Solano
No Force,"1,065","1,084",Solano
Location / Time,,,Solano
Residence,763,420,Solano
Night,283,183,Solano
Day,370,211,Solano
Unknown,110,26,Solano
Non-Residence,"1,988","1,030",Solano
Night,957,658,Solano
Day,875,325,Solano
Unknown,156,47,Solano
Motor Vehicle Theft,"2,243","1,705",Solano
Automotive,"1,464","1,370",Solano
Trucks and Buses,552,256,Solano
Other,227,79,Solano
Larceny-Theft,"5,695","6,945",Solano
Type,,,Solano
Pocket-Picking,24,43,Solano
Purse-Snatching,12,14,Solano
Shoplifting,721,"1,866",Solano
From Motor Vehicle,"1,936","2,187",Solano
Motor Vehicle Accessories,"1,074",826,Solano
Bicycles,123,159,Solano
From Building,601,326,Solano
Coin Operated Machine,9,2,Solano
Other,"1,195","1,522",Solano
Value,,,Solano
Over $400,"2,342",,Solano
Over $200,0,"4,060",Solano
$200 through $400,741,,Solano
$50 through $199,906,"1,055",Solano
Under $50,"1,706","1,830",Solano
Arson,177,114,Solano
Structural Property,134,20,Solano
Mobile Property,2,16,Solano
Other Property,41,78,Solano
Crimes,,,Napa
Violent Crimes,539,418,Napa
Homicide,1,7,Napa
Rape (Forcible Rape prior to 2014),65,49,Napa
Rape,64,47,Napa
Attempted Rape,1,2,Napa
Robbery,59,53,Napa
Weapon,,,Napa
Firearm,15,7,Napa
Knife or Cutting Instrument,4,5,Napa
Other Weapon,4,15,Napa
Strong-Arm,36,26,Napa
Location,,,Napa
Highway,14,13,Napa
Commercial,17,15,Napa
Gas Station,0,2,Napa
Convenience Store,4,3,Napa
Residence,8,5,Napa
Bank,1,1,Napa
Miscellaneous,15,14,Napa
Aggravated Assault,414,309,Napa
Weapon,,,Napa
Firearm,50,14,Napa
Knife or Cutting Instrument,62,26,Napa
Other Weapon,70,130,Napa
Hands  Fists  Feet,232,139,Napa
Property Crimes,"2,306","1,656",Napa
Burglary,522,111,Napa
Means of Entry,,,Napa
Forcible Entry,194,83,Napa
No Force,328,28,Napa
Location / Time,,,Napa
Residence,190,48,Napa
Night,41,18,Napa
Day,70,30,Napa
Unknown,79,0,Napa
Non-Residence,332,63,Napa
Night,93,39,Napa
Day,139,24,Napa
Unknown,100,0,Napa
Motor Vehicle Theft,273,221,Napa
Automotive,142,102,Napa
Trucks and Buses,106,92,Napa
Other,25,27,Napa
Larceny-Theft,"1,511","1,324",Napa
Type,,,Napa
Pocket-Picking,1,10,Napa
Purse-Snatching,5,7,Napa
Shoplifting,198,328,Napa
From Motor Vehicle,551,238,Napa
Motor Vehicle Accessories,137,74,Napa
Bicycles,145,76,Napa
From Building,67,163,Napa
Coin Operated Machine,5,4,Napa
Other,402,424,Napa
Value,,,Napa
Over $400,756,,Napa
Over $200,0,855,Napa
$200 through $400,178,,Napa
$50 through $199,210,181,Napa
Under $50,367,288,Napa
Arson,14,24,Napa
Structural Property,6,4,Napa
Mobile Property,1,1,Napa
Other Property,7,19,Napa
Crimes,,,Contracosta
Violent Crimes,"3,870","4,437",Contracosta
Homicide,44,38,Contracosta
Rape (Forcible Rape prior to 2014),283,297,Contracosta
Rape,264,272,Contracosta
Attempted Rape,19,25,Contracosta
Robbery,"1,158","1,250",Contracosta
Weapon,,,Contracosta
Firearm,344,323,Contracosta
Knife or Cutting Instrument,90,95,Contracosta
Other Weapon,99,266,Contracosta
Strong-Arm,625,566,Contracosta
Location,,,Contracosta
Highway,300,300,Contracosta
Commercial,239,370,Contracosta
Gas Station,45,38,Contracosta
Convenience Store,129,83,Contracosta
Residence,145,157,Contracosta
Bank,30,28,Contracosta
Miscellaneous,270,274,Contracosta
Aggravated Assault,"2,385","2,852",Contracosta
Weapon,,,Contracosta
Firearm,739,626,Contracosta
Knife or Cutting Instrument,322,319,Contracosta
Other Weapon,854,"1,061",Contracosta
Hands  Fists  Feet,470,846,Contracosta
Property Crimes,"23,698","25,104",Contracosta
Burglary,"3,261","3,496",Contracosta
Means of Entry,,,Contracosta
Forcible Entry,"2,283","2,663",Contracosta
No Force,978,833,Contracosta
Location / Time,,,Contracosta
Residence,"1,278",950,Contracosta
Night,435,397,Contracosta
Day,557,492,Contracosta
Unknown,286,61,Contracosta
Non-Residence,"1,983","2,546",Contracosta
Night,"1,067","1,286",Contracosta
Day,537,977,Contracosta
Unknown,379,283,Contracosta
Motor Vehicle Theft,"5,147","5,963",Contracosta
Automotive,"3,485","4,259",Contracosta
Trucks and Buses,"1,325","1,297",Contracosta
Other,337,407,Contracosta
Larceny-Theft,"15,290","15,645",Contracosta
Type,,,Contracosta
Pocket-Picking,74,220,Contracosta
Purse-Snatching,52,64,Contracosta
Shoplifting,"2,211","4,744",Contracosta
From Motor Vehicle,"5,898","3,862",Contracosta
Motor Vehicle Accessories,"2,293","2,032",Contracosta
Bicycles,506,451,Contracosta
From Building,"1,004",921,Contracosta
Coin Operated Machine,14,5,Contracosta
Other,"3,238","3,346",Contracosta
Value,,,Contracosta
Over $400,"6,811",,Contracosta
Over $200,0,"9,338",Contracosta
$200 through $400,"1,803",,Contracosta
$50 through $199,"2,425","2,560",Contracosta
Under $50,"4,251","3,747",Contracosta
Arson,286,204,Contracosta
Structural Property,98,39,Contracosta
Mobile Property,106,30,Contracosta
Other Property,82,135,Contracosta
Crimes,,,Sonoma
Violent Crimes,"2,212","1,350",Sonoma
Homicide,10,6,Sonoma
Rape (Forcible Rape prior to 2014),239,285,Sonoma
Rape,230,272,Sonoma
Attempted Rape,9,13,Sonoma
Robbery,266,218,Sonoma
Weapon,,,Sonoma
Firearm,45,31,Sonoma
Knife or Cutting Instrument,32,29,Sonoma
Other Weapon,82,28,Sonoma
Strong-Arm,107,130,Sonoma
Location,,,Sonoma
Highway,54,45,Sonoma
Commercial,41,54,Sonoma
Gas Station,4,5,Sonoma
Convenience Store,15,8,Sonoma
Residence,23,30,Sonoma
Bank,1,5,Sonoma
Miscellaneous,128,71,Sonoma
Aggravated Assault,"1,697",841,Sonoma
Weapon,,,Sonoma
Firearm,181,96,Sonoma
Knife or Cutting Instrument,200,143,Sonoma
Other Weapon,542,349,Sonoma
Hands  Fists  Feet,774,253,Sonoma
Property Crimes,"6,412","5,270",Sonoma
Burglary,"1,272",894,Sonoma
Means of Entry,,,Sonoma
Forcible Entry,409,549,Sonoma
No Force,863,345,Sonoma
Location / Time,,,Sonoma
Residence,319,327,Sonoma
Night,92,115,Sonoma
Day,89,209,Sonoma
Unknown,138,3,Sonoma
Non-Residence,953,567,Sonoma
Night,393,208,Sonoma
Day,242,348,Sonoma
Unknown,318,11,Sonoma
Motor Vehicle Theft,732,602,Sonoma
Automotive,447,446,Sonoma
Trucks and Buses,166,114,Sonoma
Other,119,42,Sonoma
Larceny-Theft,"4,408","3,774",Sonoma
Type,,,Sonoma
Pocket-Picking,11,20,Sonoma
Purse-Snatching,17,16,Sonoma
Shoplifting,483,"1,054",Sonoma
From Motor Vehicle,"1,498",753,Sonoma
Motor Vehicle Accessories,583,271,Sonoma
Bicycles,262,225,Sonoma
From Building,275,194,Sonoma
Coin Operated Machine,5,3,Sonoma
Other,"1,274","1,238",Sonoma
Value,,,Sonoma
Over $400,"2,117",,Sonoma
Over $200,0,"2,423",Sonoma
$200 through $400,516,,Sonoma
$50 through $199,543,630,Sonoma
Under $50,"1,232",721,Sonoma
Arson,74,85,Sonoma
Structural Property,35,23,Sonoma
Mobile Property,19,11,Sonoma
Other Property,20,51,Sonoma
Crimes,,,Alameda
Violent Crimes,"9,645","13,075",Alameda
Homicide,143,132,Alameda
Rape (Forcible Rape prior to 2014),684,596,Alameda
Rape,651,569,Alameda
Attempted Rape,33,27,Alameda
Robbery,"4,149","4,591",Alameda
Weapon,,,Alameda
Firearm,"1,457","2,007",Alameda
Knife or Cutting Instrument,310,261,Alameda
Other Weapon,305,367,Alameda
Strong-Arm,"2,077","1,956",Alameda
Location,,,Alameda
Highway,"2,081","2,524",Alameda
Commercial,335,479,Alameda
Gas Station,123,178,Alameda
Convenience Store,326,281,Alameda
Residence,311,313,Alameda
Bank,40,55,Alameda
Miscellaneous,933,761,Alameda
Aggravated Assault,"4,669","7,756",Alameda
Weapon,,,Alameda
Firearm,"1,296","2,358",Alameda
Knife or Cutting Instrument,518,343,Alameda
Other Weapon,"2,036","3,503",Alameda
Hands  Fists  Feet,819,"1,552",Alameda
Property Crimes,"58,293","70,676",Alameda
Burglary,"7,034","7,722",Alameda
Means of Entry,,,Alameda
Forcible Entry,"5,049","5,136",Alameda
No Force,"1,985","2,586",Alameda
Location / Time,,,Alameda
