SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,06,009,California,Calaveras County,6,46505,23209,23296,2004,995,1009,4199,2206,1993,1925,978,947,2567,1351,1216,39396,19539,19857,38377,19030,19347,13882,7079,6803,9803,4958,4845,11925,5883,6042,14082,6838,7244,2004,995,1009,2353,1279,1074,2259,1135,1124,2282,1181,1101,1797,940,857,2048,1043,1005,2472,1215,1257,2647,1336,1311,2636,1364,1272,2377,1291,1086,2611,1292,1319,2981,1421,1560,3956,1879,2077,4353,2114,2239,3788,1808,1980,2909,1449,1460,1709,873,836,1323,594,729,50.8,49.2,52.4
050,06,011,California,Colusa County,1,21837,11162,10675,1491,750,741,3101,1613,1488,1394,741,653,1946,994,952,16527,8420,8107,15851,8058,7793,8647,4461,4186,5680,2915,2765,5028,2581,2447,3197,1568,1629,1491,750,741,1625,816,809,1849,986,863,1600,861,739,1367,685,682,1483,743,740,1414,762,652,1521,761,760,1262,649,613,1210,606,604,1246,636,610,1263,671,592,1309,668,641,1071,538,533,838,425,413,602,298,304,350,170,180,336,137,199,35.3,34.8,35.7
050,06,011,California,Colusa County,2,21868,11176,10692,1481,746,735,3097,1607,1490,1403,747,656,1946,995,951,16564,8440,8124,15887,8076,7811,8666,4470,4196,5691,2921,2770,5025,2578,2447,3225,1582,1643,1481,746,735,1633,818,815,1838,982,856,1605,862,743,1370,687,683,1481,742,739,1414,765,649,1523,761,762,1273,653,620,1210,604,606,1247,637,610,1249,660,589,1319,677,642,1078,544,534,850,428,422,604,300,304,357,173,184,336,137,199,35.4,34.9,35.8
050,06,011,California,Colusa County,3,21931,11177,10754,1434,733,701,3026,1557,1469,1467,772,695,1975,1002,973,16701,8490,8211,16004,8115,7889,8760,4497,4263,5713,2923,2790,4999,2555,2444,3317,1635,1682,1434,733,701,1624,812,812,1797,945,852,1660,882,778,1387,692,695,1433,713,720,1414,770,644,1532,767,765,1334,673,661,1205,598,607,1278,651,627,1219,644,575,1297,662,635,1100,566,534,910,453,457,586,290,296,386,189,197,335,137,198,35.8,35.3,36.2
050,06,011,California,Colusa County,4,21952,11199,10753,1393,729,664,3007,1514,1493,1517,796,721,1989,1029,960,16764,8543,8221,16035,8160,7875,8832,4545,4287,5712,2926,2786,4905,2495,2410,3429,1710,1719,1393,729,664,1629,819,810,1764,901,863,1730,914,816,1390,705,685,1379,688,691,1435,774,661,1515,763,752,1383,701,682,1189,584,605,1294,664,630,1187,626,561,1235,621,614,1158,602,556,902,450,452,619,307,312,418,205,213,332,146,186,35.9,35.5,36.4
050,06,011,California,Colusa County,5,22093,11319,10774,1410,754,656,3003,1499,1504,1523,817,706,2025,1073,952,16928,8655,8273,16157,8249,7908,8919,4611,4308,5722,2915,2807,4895,2505,2390,3515,1756,1759,1410,754,656,1616,821,795,1738,872,866,1794,965,829,1403,731,672,1367,676,691,1451,761,690,1471,751,720,1433,727,706,1205,599,606,1257,650,607,1200,629,571,1233,627,606,1167,607,560,927,462,465,638,310,328,450,222,228,333,155,178,36.0,35.5,36.5
050,06,011,California,Colusa County,6,22074,11311,10763,1426,761,665,2948,1460,1488,1472,799,673,2092,1107,985,17027,8721,8306,16228,8291,7937,8923,4626,4297,5678,2890,2788,4874,2511,2363,3584,1783,1801,1426,761,665,1520,784,736,1747,846,901,1816,983,833,1429,753,676,1303,655,648,1437,745,692,1441,732,709,1497,758,739,1227,616,611,1223,635,588,1204,629,575,1220,631,589,1160,598,562,946,463,483,683,326,357,448,221,227,347,175,172,36.3,35.9,36.7
050,06,013,California,Contra Costa County,1,1165983,574073,591910,63973,32634,31339,135223,68963,66260,64646,33087,31559,92426,47190,45236,934548,455948,478600,902141,439389,462752,447851,225071,222780,306921,153046,153875,315822,155873,159949,186972,83280,103692,63973,32634,31339,71667,36487,35180,79698,40728,38970,75630,38820,36810,65300,33205,32095,70493,35698,34795,74943,37424,37519,81636,40602,41034,79849,39322,40527,79620,39371,40249,81001,40301,40700,81793,40488,41305,73408,35713,37695,61102,28655,32447,50407,22978,27429,33339,14766,18573,20832,9089,11743,21292,7792,13500,40.0,39.0,41.0
050,06,013,California,Contra Costa County,2,1166165,574139,592026,63680,32475,31205,134536,68625,65911,64754,33123,31631,92453,47181,45272,935595,456475,479120,903195,439916,463279,448009,225150,222859,307032,153138,153894,315411,155698,159713,188299,83899,104400,63680,32475,31205,71428,36376,35052,79338,40541,38797,75615,38786,36829,65362,33226,32136,70152,35535,34617,75007,37473,37534,81696,40623,41073,80177,39507,40670,79303,39205,40098,80968,40293,40675,81622,40405,41217,73518,35795,37723,61420,28836,32584,50798,23142,27656,33693,14925,18768,21036,9181,11855,21352,7815,13537,40.0,39.0,41.0
050,06,013,California,Contra Costa County,3,1163813,572494,591319,62246,31733,30513,131321,66894,64427,64631,33015,31616,92639,47148,45491,937753,457286,480467,905615,440852,464763,448513,225168,223345,307595,153348,154247,312101,154090,158011,193280,86266,107014,62246,31733,30513,70228,35754,34474,77445,39483,37962,75356,38544,36812,65562,33276,32286,68440,34672,33768,75615,37642,37973,81970,40717,41253,81570,40317,41253,77773,38330,39443,80706,40250,40456,79958,39531,40427,73664,35979,37685,62514,29419,33095,52413,23869,28544,35081,15523,19558,21843,9503,12340,21429,7952,13477,40.3,39.3,41.3
050,06,013,California,Contra Costa County,4,1160296,570443,589853,61535,31453,30082,128824,65473,63351,64560,33040,31520,91725,46623,45102,937426,456898,480528,905377,440477,464900,446466,224024,222442,306336,152618,153718,308644,152509,156135,198672,88727,109945,61535,31453,30082,69505,35311,34194,75474,38419,37055,75327,38689,36638,64803,32717,32086,66221,33494,32727,75258,37378,37880,81647,40443,41204,83210,41303,41907,77478,38157,39321,80084,40097,39987,77681,38379,39302,73401,35876,37525,63291,29855,33436,52091,23641,28450,38461,17077,21384,23154,10024,13130,21675,8130,13545,40.6,39.7,41.5
050,06,013,California,Contra Costa County,5,1162179,571271,590908,61195,31354,29841,127224,64561,62663,64006,32746,31260,92530,47243,45287,942192,459178,483014,909754,442610,467144,447261,224330,222931,306013,152190,153823,306540,151617,154923,204671,91560,113111,61195,31354,29841,68640,35004,33636,73872,37406,36466,75883,39019,36864,65365,33121,32244,65134,32798,32336,74974,37013,37961,81661,40519,41142,84244,41860,42384,77786,38413,39373,78858,39479,39379,76144,37685,38459,73752,36040,37712,64156,30435,33721,52763,23923,28840,40630,18022,22608,24733,10643,14090,22389,8537,13852,40.8,39.9,41.7
