ZIP_CODE,HUD_AREA_CODE,CITY_STATE,RENT_STUDIO,RENT_STUDIO_90,RENT_STUDIO_110,RENT_1BD,RENT_1BD_90,RENT_1BD_110,RENT_2BD,RENT_2BD_90,RENT_2BD_110,RENT_3BD,RENT_3BD_90,RENT_3BD_110,RENT_4BD,RENT_4BD_90,RENT_4BD_110,GEO_ID,MEDIAN_INCOME_HOUSEHOLD_EST,TOTAL_HOUSEHOLDS_EST
94568,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2920,2628,3212,3250,2925,3575,3970,3573,4367,5080,4572,5588,6020,5418,6622,860Z200US94568,205046,23811
94572,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1870,1683,2057,2080,1872,2288,2540,2286,2794,3250,2925,3575,3850,3465,4235,860Z200US94572,89074,2958
94577,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2020,1818,2222,2250,2025,2475,2750,2475,3025,3520,3168,3872,4170,3753,4587,860Z200US94577,110989,16870
94578,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1990,1791,2189,2220,1998,2442,2710,2439,2981,3470,3123,3817,4110,3699,4521,860Z200US94578,89149,14060
94579,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1910,1719,2101,2130,1917,2343,2600,2340,2860,3320,2988,3652,3940,3546,4334,860Z200US94579,94193,6692
94580,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2080,1872,2288,2320,2088,2552,2830,2547,3113,3620,3258,3982,4290,3861,4719,860Z200US94580,110106,8782
94582,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2610,2349,2871,2910,2619,3201,3550,3195,3905,4540,4086,4994,5380,4842,5918,860Z200US94582,211159,16166
94583,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2720,2448,2992,3030,2727,3333,3700,3330,4070,4730,4257,5203,5610,5049,6171,860Z200US94583,184033,13776
94586,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2390,2151,2629,2660,2394,2926,3250,2925,3575,4160,3744,4576,4930,4437,5423,860Z200US94586,198942,337
94587,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2380,2142,2618,2640,2376,2904,3230,2907,3553,4130,3717,4543,4900,4410,5390,860Z200US94587,137194,21202
94588,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2860,2574,3146,3190,2871,3509,3890,3501,4279,4970,4473,5467,5900,5310,6490,860Z200US94588,186569,12182
94595,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2200,1980,2420,2450,2205,2695,2990,2691,3289,3820,3438,4202,4530,4077,4983,860Z200US94595,98108,9341
94596,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2460,2214,2706,2740,2466,3014,3350,3015,3685,4280,3852,4708,5080,4572,5588,860Z200US94596,137660,10801
94597,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2390,2151,2629,2660,2394,2926,3250,2925,3575,4160,3744,4576,4930,4437,5423,860Z200US94597,142685,10731
94598,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2850,2565,3135,3180,2862,3498,3880,3492,4268,4960,4464,5456,5880,5292,6468,860Z200US94598,188170,10493
94601,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1750,1575,1925,1990,1791,2189,2420,2178,2662,3090,2781,3399,3670,3303,4037,860Z200US94601,66651,16447
94602,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1770,1593,1947,1990,1791,2189,2420,2178,2662,3090,2781,3399,3670,3303,4037,860Z200US94602,124744,12287
94603,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1750,1575,1925,1990,1791,2189,2420,2178,2662,3090,2781,3399,3670,3303,4037,860Z200US94603,71086,10598
94605,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1750,1575,1925,1990,1791,2189,2420,2178,2662,3090,2781,3399,3670,3303,4037,860Z200US94605,101043,16739
94606,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1750,1575,1925,1990,1791,2189,2420,2178,2662,3090,2781,3399,3670,3303,4037,860Z200US94606,70769,15883
94607,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",1800,1620,1980,2010,1809,2211,2450,2205,2695,3130,2817,3443,3710,3339,4081,860Z200US94607,87937,12697
94608,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2390,2151,2629,2660,2394,2926,3250,2925,3575,4160,3744,4576,4930,4437,5423,860Z200US94608,116306,16211
94609,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2220,1998,2442,2470,2223,2717,3020,2718,3322,3860,3474,4246,4580,4122,5038,860Z200US94609,106698,10998
94610,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2180,1962,2398,2430,2187,2673,2970,2673,3267,3800,3420,4180,4500,4050,4950,860Z200US94610,130435,16115
94611,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",2160,1944,2376,2400,2160,2640,2930,2637,3223,3750,3375,4125,4440,3996,4884,860Z200US94611,176517,17840
